개발,5
협력,5
논의,5
에어팟,11
맥스,10
애플,8
헤드폰,6
출시,6
현상,6
무선,5
국내,3
가격,3
채새롬,2
현대,20
주식,15
보유,14
현대차,13
회장,13
애플,11
정의선,8
지난달,8
주가,8
그룹,7
애플,14
한국,12
개발자,6
아카데미,4
세계,3
계획,3
잭슨,3
부사,3
출시,3
단독,2
애플,5
위해,4
인종차별,3
흑인,3
프로,3
센터,3
허브,3
학생,3
쿡,2
해소,2
에어팟,24
애플,13
프로,11
블룸버그,7
신형,6
이어폰,5
무선,5
출시,4
중이,4
디자인,4
애플,15
여의도,7
국내,6
개장,5
스토어,5
가로수길,3
호점,3
애플스토어,2
채새롬,2
명동,2
애플,41
현대차,35
협상,24
그룹,21
전기차,17
기아,14
공시,10
자율,9
중단,8
주행,8
애플,15
차량,10
주행,6
로이터,5
배터리,5
자율,4
생산,4
거리,3
프로젝트,3
설명,3
애플,11
경쟁,7
광고,5
로이터,4
집행,4
모든,3
취급,3
사생활,3
기능,3
통신,3
애플,8
페이스북,6
광고,5
이용자,5
표적,3
쿡,3
저커버그,3
결과,3
무엇,3
추적,3
현대차,8
애플,6
초기,3
단계,3
결정,3
생산,3
그룹,3
전기차,2
장하나,2
자율,2
애플,13
에어팟,12
맥스,8
음향,8
무선,6
헤드폰,6
제공,6
디자인,6
경험,5
노이즈,4
애플,11
매출,10
아이폰,10
판매,8
노트북,3
증대,3
처음,3
집계,3
평균,3
작년,2
갤럭시,16
전자,4
시리즈,4
출시,4
울트라,4
아이폰,3
애플,3
전작,3
이상,3
출고,3
픽셀,1
신작,1
사가,1
사전,1
다운로드,1
애플,1
인기,1
게임,1
테슬라,8
주식,7
주가,5
보유,3
가치,3
지난,3
보관,3
지난해,3
서학,2
개미,2
화웨이,9
스마트폰,8
애플,8
작년,6
점유,5
올해,5
시장,5
차지,5
전자,5
업체,4
애플,14
협상,10
현대차,7
그룹,7
보도,6
협력,5
관련,4
중단,4
공시,3
전기차,3
애플,10
아이폰,7
수리,5
처벌,4
소비자,4
통신사,4
보험,3
입장,3
보험료,2
할인,2
애플,22
현대차,18
그룹,18
협업,10
기아,8
생산,6
전기차,5
소식,4
기업,4
모비스,3
애플,15
현대차,12
자율,6
개발,6
협상,6
기술,6
앵커,5
보도,5
전기차,5
소프트웨어,5
부회장,21
삼성,9
이재용,9
전자,8
취업,8
제한,7
이사회,7
대해,6
준법,6
해임,5
전자,7
배당,5
정기,4
삼성,3
주주,3
주주총회,2
오늘,2
특별,2
승인,2
올해,2
배당,6
주주,5
부회장,5
정기,5
전자,4
대표이사,4
주주총회,3
통해,3
부문,3
사업,3
전자,9
삼성,8
승인,5
이사,5
안건,5
주주총회,4
온라인,4
사내,4
선임,4
상정,4
게이,12
게임,10
삼성,6
네오,6
인증,6
화면,6
기능,6
시간,5
인풋,5
성능,4
노트,5
하반기,4
출시,3
사장,3
삼성,2
내년,2
준비,2
올해,2
적용,2
시리즈,2
주주,12
안건,10
사외이사,10
전자,8
부회장,8
이재용,7
의결권,6
선임,6
삼성,5
행사,5
공장,17
삼성,13
오스틴,13
가동,10
전자,10
반도체,9
중단,5
셧다운,5
피해,4
전력,4
낸드,10
가격,9
플래시,8
예상,7
올해,7
삼성,6
반도체,6
트렌드,5
포스,5
전자,5
전자,13
부회장,13
주주,11
삼성,7
김기남,7
질문,5
노트,5
정기,5
올해,5
부문,5
주주,19
전자,17
부회장,14
삼성,9
참석,8
질문,5
지난해,5
컨벤션,4
센터,4
올해,4
전자,22
주주,21
삼성,14
부회장,12
주주총회,11
질문,7
온라인,6
참석,6
이재용,6
박수,5
전자,12
삼성,10
세대,10
기술,8
지속,7
제품,7
시장,7
올해,6
낸드,6
나노,5
전자,18
주주,18
부회장,13
삼성,11
질문,10
사업,9
부문,6
사장,6
지난해,5
회사,5
노트,9
갤럭시,7
올해,5
단종,5
적용,5
삼성,4
하반기,4
출시,4
전자,4
사장,4
소유자,11
주식,10
보유,6
개인,4
급증,3
가장,3
삼성,2
전자,2
한혜원,2
상장법인,2
삼성,8
전자,8
표준화,8
통신,6
의장,6
리서치,4
국제,4
전파,3
회의,3
진출,3
반도체,11
투자,10
전자,10
규모,8
삼성,6
올해,6
시설,5
부회장,5
달러,5
인사,4
전자,12
삼성,10
부회장,6
정기,5
주주총회,5
수원시,4
컨벤션,4
센터,4
주주,4
부문,4
패키지,11
가전,11
전자,9
하우스,9
스마트,9
모델링,9
샘리,7
스포크,7
출시,5
설계,4
기,2
삼성,2
전자,2
정기,2
주주총회,2
수원,1
홍기,1
오전,1
경기도,1
수원시,1
삼성,20
채용,19
반도체,15
경력,15
전자,13
하이닉스,9
지원,7
인재,7
공고,6
접수,6
삼성,4
갤럭시,4
전자,3
서울,1
온라인,1
통해,1
어썸,1
시리즈,1
스마트폰,1
공개,1
삼성,7
이마트,7
워드,7
약정,7
고객,6
가입,5
금액,4
행사,4
노트북,3
이번,3
삼성,3
전자,3
기,2
정기,2
주주총회,2
서울,1
경기도,1
수원시,1
영통구,1
컨벤션,1
삼성,7
채용,4
대졸,3
공채,3
신입사원,3
상반기,2
시작,2
그룹,2
이번,2
직무,2
소유자,23
주식,18
보유,14
가장,10
법인,8
개인,6
거주,6
남자,6
서울,5
평균,5
주주총회,2
입장,2
삼성,2
전자,2
주주,2
컨벤션,2
서울,1
홍기,1
수원,1
센터,1
가전,7
상품,7
모델링,6
패키지,5
전자,4
설계,3
맞춤,3
출시,2
박상돈,2
하우스,2
삼성,3
전자,3
인사,2
김기남,2
대표이사,2
부회장,2
서울,1
홍기,1
오전,1
경기도,1
삼성,3
전자,3
발언,2
김기남,2
대표이사,2
부회장,2
수원,1
홍기,1
오전,1
경기도,1
온라인,2
생중계,2
삼성,2
전자,2
주주총회,2
수원,1
홍기,1
오전,1
경기도,1
수원시,1
진행,2
삼성,2
전자,2
주주총회,2
거리,1
두기,1
수원,1
홍기,1
오전,1
경기도,1
삼성,2
전자,2
정기,2
주주총회,2
주주,2
컨벤션,2
서울,1
홍기,1
수원,1
센터,1
삼성,3
전자,3
주주총회,2
김기남,2
대표이사,2
부회장,2
참석,1
서울,1
홍기,1
오전,1
화웨이,8
특허,5
애플,3
삼성,3
기술,3
전자,3
로열티,3
요구,2
수현,2
이동통신,2
결정,18
수탁,14
국민연금,11
의결권,11
기금,9
운용,9
삼성,7
전자,7
본부,7
위원,7
삼성,2
전자,2
수원,2
선임,1
이사,1
후보,1
적격성,1
검토,1
홍기,1
제,1
부회장,16
준법,15
취업,14
제한,12
삼성,7
의견,7
집행,7
전자,6
논의,5
경우,5
인증,4
삼성,3
게이,3
성능,3
독일,2
전자,2
모델,2
획득,1
서울,1
업계,1
답변,28
앵커,26
삼성,14
직무,11
문제,11
채용,10
시험,10
영역,10
기업,9
전형,9
삼성,12
공채,4
채용,4
상반기,3
대졸,3
신입사원,3
직무,3
접수,2
미숙,2
공고,2
전자,11
캐나다,8
장비,6
사스크텔,6
이동통신,5
단독,5
기지국,4
공급,4
통해,4
네트워크,4
전자,8
투표,5
주주,5
행사,4
의결권,3
정기,2
참여,2
개최,2
의안,2
본인,2
캐나다,10
장비,9
전자,9
사스크텔,7
단독,7
공급,5
삼성,4
화웨이,4
이동통신,4
기지국,4
국민연금,6
결정,6
기금,5
운용,5
보수,5
삼성,4
전자,4
사외이사,4
찬성,4
본부,4
위원,6
국민연금,5
사외이사,5
결정,5
삼성,4
전자,4
수탁,4
판단,4
논의,4
사안,4
팹리스,15
반도체,12
업체,9
매출,7
전자,6
설계,6
지난해,6
국내,5
생산,5
시장,5
전자,9
투표,5
삼성,4
온라인,4
주주,4
오후,3
주주총회,3
도입,3
중계,3
신청,3
삼성,3
전자,3
통신,3
의장,3
전파,2
부문,2
표준화,2
회의,2
진출,2
서울,1
모바일,1
반도체,1
품귀,1
삼성,1
전자,1
퀄컴,1
비상,1
갤럭시,20
삼성,19
브랜드,10
로고,10
모델,7
출시,7
부팅,6
제품,6
전자,6
스마트폰,5
선임,9
사외이사,7
전자,6
삼성,5
안건,5
자문,4
세계,3
재,3
최대,2
의결권,2
성능,6
삼성,5
전자,5
탑재,5
최대,5
제공,4
제품,4
출시,3
고성능,3
속도,3
수책,15
안건,13
결정,12
국민연금,11
삼성,10
위원,10
전자,6
논의,6
사외이사,5
선임,5
전자,7
삼성,5
올해,4
외국인,4
주가,3
최저,3
시장,3
하락,3
최근,3
서울,2
선임,9
사외이사,8
국민연금,6
전자,6
삼성,5
찬성,5
의결권,5
반대,5
안건,5
승인,5
공장,6
시안,5
전자,5
반도체,4
삼성,3
중국,3
증설,3
장비,3
가동,3
글로벌,3
